Area Code,Local Authority Name,Area type,Area_m2,Percent
00AA,City of London,Domestic Buildings,253,7.6
00AB,Barking and Dagenham,Domestic Buildings,"3,044",8.2
00AC,Barnet,Domestic Buildings,"7,203",8.3
00AD,Bexley,Domestic Buildings,"5,003",7
00AE,Brent,Domestic Buildings,"5,018",11.6
00AF,Bromley,Domestic Buildings,"8,041",5.4
00AG,Camden,Domestic Buildings,"2,668",12.2
00AH,Croydon,Domestic Buildings,"7,590",8.8
00AJ,Ealing,Domestic Buildings,"5,562",10
00AK,Enfield,Domestic Buildings,"5,976",7.3
00AL,Greenwich,Domestic Buildings,"4,087",8.5
00AM,Hackney,Domestic Buildings,"2,515",13.2
00AN,Hammersmith and Fulham,Domestic Buildings,"2,514",14.3
00AP,Haringey,Domestic Buildings,"4,217",14.3
00AQ,Harrow,Domestic Buildings,"4,671",9.3
00AR,Havering,Domestic Buildings,"5,809",5.2
00AS,Hillingdon,Domestic Buildings,"5,740",5
00AT,Hounslow,Domestic Buildings,"4,199",7.4
00AU,Islington,Domestic Buildings,"2,259",15.2
00AW,Kensington and Chelsea,Domestic Buildings,"2,374",19.2
00AX,Kingston upon Thames,Domestic Buildings,"3,357",9
00AY,Lambeth,Domestic Buildings,"4,163",15.4
00AZ,Lewisham,Domestic Buildings,"4,521",12.8
00BA,Merton,Domestic Buildings,"3,767",10
00BB,Newham,Domestic Buildings,"4,120",11.2
00BC,Redbridge,Domestic Buildings,"5,207",9.2
00BD,Richmond upon Thames,Domestic Buildings,"4,106",7
00BE,Southwark,Domestic Buildings,"3,252",11.1
00BF,Sutton,Domestic Buildings,"4,083",9.3
00BG,Tower Hamlets,Domestic Buildings,"1,843",7.5
00BH,Waltham Forest,Domestic Buildings,"4,380",11.3
00BJ,Wandsworth,Domestic Buildings,"4,652",13.3
00BK,Westminster,Domestic Buildings,"2,766",12.5
H,London,Domestic Buildings,"138,961",8.7
64,England,Domestic Buildings,"1,507,705",1.1
