count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
990139,6,London,145,Camden,B511,Minor,,,526610,184830,51.54816797,-0.17543568,,
953170,6,London,145,Camden,U,Minor,,,524940,184500,51.54557415,-0.19962446,,
951704,6,London,145,Camden,U,Minor,,,528657,186240,51.56037500,-0.14541528,,
951703,6,London,145,Camden,U,Minor,,,525830,185148,51.55119800,-0.18656512,,
951702,6,London,145,Camden,U,Minor,,,530618,181463,51.51699757,-0.11891344,,
951701,6,London,145,Camden,B519,Minor,,,526422,186757,51.56552600,-0.17745346,,
948023,6,London,145,Camden,U,Minor,,,529500,183000,51.53106722,-0.13445250,,
942312,6,London,145,Camden,U,Minor,,,530884,181430,51.51663950,-0.11509429,,
942311,6,London,145,Camden,U,Minor,,,529214,182041,51.52251446,-0.13892474,,
942310,6,London,145,Camden,U,Minor,,,529076,184496,51.54460700,-0.14001370,,
942308,6,London,145,Camden,B510,Minor,,,525109,185562,51.55508087,-0.19681125,,
942307,6,London,145,Camden,B502,Minor,,,530149,182117,51.52298100,-0.12542757,,
942306,6,London,145,Camden,B510,Minor,,,525435,183997,51.54094403,-0.19266895,,
942305,6,London,145,Camden,B521,Minor,,,531314,181941,51.52113000,-0.10871061,,
942304,6,London,145,Camden,B510,Minor,,,525323,185330,51.55294700,-0.19380881,,
942303,6,London,145,Camden,B509,Minor,,,525734,183832,51.53939473,-0.18841869,,
930346,6,London,145,Camden,U,Minor,,,524690,185100,51.55102157,-0.20301537,,
930345,6,London,145,Camden,C,Minor,,,528350,186190,51.55999715,-0.14985967,,
930344,6,London,145,Camden,U,Minor,,,530600,182080,51.52254645,-0.11894425,,
900020,6,London,145,Camden,U,Minor,,,528560,186580,51.56345417,-0.14668949,,
900013,6,London,145,Camden,U,Minor,,,525260,185130,51.55116505,-0.19478809,,
811071,6,London,145,Camden,B517,Minor,,,527824,185339,51.55246700,-0.15775246,,
805667,6,London,145,Camden,B400,Minor,,,530998,181541,51.51760900,-0.11341114,,
803132,6,London,145,Camden,U,Minor,,,529013,184399,51.54374900,-0.14095722,,
803131,6,London,145,Camden,U,Minor,,,529525,181960,51.52171400,-0.13447441,,
93123,6,London,145,Camden,A40,Major,A40/A4200,"Procter St",530495,181704,51.51919000,-0.12059602,0.10,0.06
90230,6,London,145,Camden,A4200,Major,A40,A501,529964,182317,51.52482100,-0.12801891,1.70,1.06
90043,6,London,145,Camden,A40,Major,,,530010,181424,51.51678600,-0.12768540,0.10,0.06
90042,6,London,145,Camden,A40,Major,"Charing Cross Road","Earnshaw St",529871,181388,51.51649400,-0.12970077,0.10,0.06
